Feature,Importance
Rolling_WorkingDayWithHoliday_5_mean,0.1263014602636195
Rolling_WorkingDayWithHoliday_10_median,0.12556940389307342
Rolling_WorkingDayWithHoliday_15_median,0.11219739245083653
Rolling_WorkingDayWithHoliday_10_mean,0.09273960369427361
Rolling_WorkingDayWithHoliday_15_mean,0.0915474933404968
Rolling_WorkingDayWithHoliday_45_mean,0.08909761817753517
Rolling_WorkingDayWithHoliday_30_median,0.08185428076122409
Rolling_WorkingDayWithHoliday_5_median,0.07570879145166141
Rolling_WorkingDayWithHoliday_30_mean,0.06311889099778496
Num_lag_1,0.04128783606160949
Rolling_WorkingDayWithHoliday_45_median,0.03574867943746827
Num_lag_14,0.029410357424797563
Num_lag_7,0.010774372625585346
WorkingDayWithHoliday,0.005858484771240052
Rolling_WorkingDayWithHoliday_30_std,0.0056369645305864025
Rolling_WorkingDayWithHoliday_15_std,0.004164394768555564
Rolling_WorkingDayWithHoliday_45_std,0.002382775506629208
Rolling_WorkingDayWithHoliday_10_std,0.001731050796675723
Weekday_5,0.0012488452559287577
Weekday_6,0.001046509217748301
Month_sin,0.0009212249766360183
Holiday,0.0003839312223037657
Weekday_0,0.0003448255881765169
Weekday_2,0.00032697502630525254
WeekOfYear_cos,0.00023844194706366668
Rolling_WorkingDayWithHoliday_5_std,0.0002222014513335454
Month_cos,0.00011634484687076915
Weekday_4,2.084951398038868e-05
DayOfYear_sin,0.0
WeekOfYear_sin,0.0
Quarter_1,0.0
Quarter_4,0.0
Quarter_3,0.0
Quarter_2,0.0
Weekday_3,0.0
Weekday_1,0.0
DayOfYear_cos,0.0
